Food Name,Country of Origin,Rarity,Description
Hákarl,Iceland,4,"A national dish of Iceland consisting of a Greenland shark or a basking shark which has been cured with a particular fermentation process and hung to dry for four to five months."
Mishkaki,Tanzania,4,"A popular Tanzanian dish of marinated and grilled meat skewers. It is often served with a salad and a dipping sauce."
Puchero,Argentina,3,"A type of stew, originally from Spain, prepared in Yucatán, Mexico, Argentina, Paraguay, Uruguay, Perú, south of Brazil, the Philippines, and Spain, specifically the autonomous communities of Andalusia and the Canary Islands. The name comes from the Spanish word 'puchero' which means 'stewpot'."
Thali,India,2,"A round platter used to serve food in South Asia, Southeast Asia and the Caribbean. Thali is also a meal made up of a selection of various dishes which are served on a platter."
Sopa Paraguaya,Paraguay,4,"A traditional Paraguayan dish. Literally meaning 'Paraguayan soup', it is similar to a savory cornbread. Corn flour, cheese, milk and onions are common ingredients."
Cuchifrito,Puerto Rico,3,"A variety of fried foods prepared principally of pork, in Puerto Rican cuisine. In a broader sense, it refers to any of various fried dishes sold by street vendors or cuchifritos."
Banh Xeo,Vietnam,3,"A Vietnamese savory fried pancake made of rice flour, water, and turmeric powder. It is stuffed with slivers of fatty pork, shrimp, diced green onion, and bean sprouts."
Injera,Ethiopia,2,"A sour fermented flatbread with a slightly spongy texture, traditionally made out of teff flour. It is the national dish in Ethiopia and Eritrea."
La Bandera,Dominican Republic,3,"The national dish of the Dominican Republic. It consists of rice, red beans, and meat (beef, chicken, or pork)."
Bokkeumbap,South Korea,2,"A Korean fried rice dish. It is a popular and easy-to-make dish, and can be made with a variety of ingredients."
Tostada,Mexico,2,"A Spanish word meaning 'toasted'. In Mexico and other parts of Latin America, it is the name of various local dishes which are toasted or use a toasted ingredient as the main base of their preparation."
Puttu,Sri Lanka,3,"A breakfast dish eaten in the South Indian states of Kerala, Tamil Nadu and parts of Karnataka, as well as Sri Lanka. Puttu means 'portioned' in Tamil and Malayalam. It is made of steamed cylinders of ground rice layered with coconut shavings, sometimes with a sweet or savory filling."
Chaat,India,2,"A savory snack that originated in India, typically served as an hors d'oeuvre at roadside tracks from stalls or food carts across the Indian subcontinent in India, Pakistan, Nepal and Bangladesh."
Chupe de Camarones,Peru,3,"A Peruvian shrimp chowder. It is a popular dish in the coastal regions of Peru."
Eton Mess,England,3,"A traditional English dessert consisting of a mixture of strawberries, meringue, and cream. It was first mentioned in print in 1893, and is believed to have originated at Eton College."
Ayam Goreng,Indonesia,2,"An Indonesian and Malaysian dish consisting of deep-fried chicken. The name 'ayam goreng' literally means 'fried chicken' in Malay (including both Indonesian and Malaysian standards) and also in many Indonesian regional languages (e.g. Javanese)."
Kartoffelsalat,Germany,2,"A German potato salad. It is a popular dish in Germany and other parts of Central Europe."
Waterzooi,Belgium,3,"A stew from Belgium and originating in Flanders. The name of the dish is Dutch for 'watery mess', sometimes translated as 'boiling water'."
Bacalhau à Lagareiro,Portugal,3,"A Portuguese dish of codfish cooked with potatoes, onions, and garlic in a large amount of olive oil."
Pilaf,Armenia,2,"A rice dish, or in some regions, a wheat dish, whose recipe usually involves cooking in stock or broth, adding spices, and other ingredients such as vegetables or meat, and employing some technique for achieving cooked grains that do not adhere."
Marmite,New Zealand,3,"A brand of savoury food spread from the United Kingdom, based on yeast extract invented by German scientist Justus von Liebig. It is made from by-products of beer brewing and is produced by the British company Unilever."
Bacalaito,Puerto Rico,3,"A Puerto Rican salt cod fritter. It is a popular snack and appetizer."
Cherkessia Chicken,Turkey,3,"A Turkish dish of chicken in a walnut sauce. It is a popular dish in the Circassian diaspora."
Dampfnudel,Germany,3,"A sort of white bread roll or sweet roll eaten as a meal or as a dessert in Germany, Austria and in France (Alsace). It is a typical dish in southern Germany."
Dobos Torte,Hungary,3,"A Hungarian sponge cake layered with chocolate buttercream and topped with caramel. The five-layer pastry is named after its inventor, Hungarian chef József C. Dobos, a delicatessen owner in Budapest."
Fanesca,Ecuador,4,"A traditional soup of Ecuador served on Good Friday. It is a rich soup, with the primary ingredients being figleaf gourd (sambo), pumpkin (zapallo), and twelve different kinds of beans and grains, plus bacalhau (salt cod) cooked in milk."
Fasolada,Greece,3,"A Greek and Cypriot soup of dry white beans, olive oil, and vegetables, sometimes called the 'national food of the Greeks'."
Fideuà,Spain,3,"A seafood dish originally from the coast of Valencia which is similar to paella. Its main ingredients are pasta noodles (usually hollow), fish, and shellfish. It is seasoned with lemon and aioli."
Fufu with light soup,Ghana,2,"A popular Ghanaian dish of fufu served with a light soup. The soup is typically made with tomatoes, onions, and peppers, and can be made with or without meat."
Ghormeh Sabzi,Iran,3,"An Iranian herb stew. It is a very popular dish in Iran."
Hoppers,Sri Lanka,3,"A type of pancake made from a fermented batter of rice flour and coconut milk. It is a popular breakfast dish in Sri Lanka."
Jerk Chicken,Jamaica,2,"A Jamaican dish of chicken marinated in a spicy jerk sauce and then grilled. It is a popular dish in Jamaica and other parts of the Caribbean."
Judd mat Gaardebounen,Luxembourg,4,"A savory dish of smoked pork collar and broad beans, which is one of the most widely recognized national dishes of Luxembourg."
Kapuska,Turkey,3,"A traditional Turkish stew made with cabbage and meat. It is a popular dish in the winter."
Khao Phat,Thailand,2,A Thai-style fried rice dish.
Köttbullar,Sweden,2,"A Swedish dish of meatballs, typically served with gravy, boiled potatoes, lingonberry jam, and sometimes pickled cucumber."
Kumpir,Turkey,3,"A Turkish baked potato with a variety of fillings. It is a popular street food in Turkey."
Lahmacun,Turkey,2,"A round, thin piece of dough topped with minced meat (most commonly beef or lamb), minced vegetables and herbs including onions, tomatoes and parsley, and spices such as cayenne pepper, paprika, cumin and cinnamon, then baked."
Lecsó,Hungary,3,"A Hungarian thick vegetable ragout or stew which features yellow pointed peppers, tomato, onion, salt, and ground sweet and/or hot paprika as a base."
Lomo Saltado,Peru,2,"A popular, traditional Peruvian dish, a stir fry that typically combines marinated strips of sirloin (or other beef steak) with onions, tomatoes, french fries, and other ingredients; and is typically served with rice."
Malabar Biryani,India,2,"A variety of biryani from the Malabar region of Kerala. It is made with Khaima rice, ghee, and a variety of spices."
Manakeesh,Lebanon,2,"A popular Levantine food consisting of dough topped with thyme, cheese, or ground meat. Similar to a pizza, it can be sliced or folded, and it can be served either for breakfast or lunch."
Meat Pie,Australia,2,"A handheld pie with a filling of meat and gravy. It is a popular snack and meal in Australia and New Zealand."
Melktert,South Africa,3,"A South African dessert consisting of a sweet pastry crust containing a creamy filling made from milk, flour, sugar and eggs."
Mutabal,Syria,3,"A popular Levantine dip made from eggplant, tahini, and garlic."
Phat Kaphrao,Thailand,2,"A popular Thai street food dish of stir-fried meat or seafood with holy basil and other ingredients. It is often served with rice and a fried egg."
Polenta,Italy,2,"A dish of boiled cornmeal that was historically made from other grains. It may be served as a hot porridge, or it may be allowed to cool and solidify into a loaf that can be baked, fried, or grilled."
Rasam,India,2,"A South Indian soup, traditionally prepared using tamarind juice as a base, with the addition of tomato, chili pepper, pepper, cumin and other spices as seasonings."
Rendang,Indonesia,2,"A rich and tender coconut beef stew which is explosively flavorful. It is one of the most famous dishes from Indonesia."
Salbutes,Belize,3,"A popular snack in Belize. It is a puffy, deep-fried tortilla topped with a variety of ingredients, such as shredded chicken, cabbage, and pickled onions."
Shito,Ghana,3,"A Ghanaian hot pepper sauce. It is a popular condiment in Ghana, and is often served with kenkey, banku, or other dishes."
Skagenröra,Sweden,3,"A Swedish salad made from shrimp, mayonnaise, and dill. It is often served on toast or as a filling for sandwiches."
Souvlaki,Greece,2,"A popular Greek fast food consisting of small pieces of meat and sometimes vegetables grilled on a skewer. It is usually eaten straight off the skewer while still hot."
Spätzle,Germany,2,"A type of soft egg noodle found in the cuisines of southern Germany and Austria, Switzerland, Hungary, Alsace, Moselle and South Tyrol. The name means 'little sparrows'."
Supa de Pui cu Tăieței,Romania,3,"A Romanian chicken noodle soup. It is a popular comfort food in Romania."
Surströmming,Sweden,4,"A lightly-salted fermented Baltic Sea herring. It is a traditional dish from northern Sweden, and is known for its strong, pungent smell."
Tabule,Brazil,2,"A Levantine vegetarian salad made mostly of finely chopped parsley, with tomatoes, mint, onion, bulgur, and seasoned with olive oil, lemon juice, salt and pepper."
Tom Yum Goong,Thailand,2,"A type of hot and sour Thai soup, usually cooked with shrimp (prawn)."
Touffé d'arachides,Senegal,3,"A Senegalese peanut stew. It is a popular dish in Senegal and other parts of West Africa."
Trdelník,Czech Republic,3,"A kind of spit cake. It is made from rolled dough that is wrapped around a stick, then grilled and topped with sugar and walnut mix."
Tteokbokki,South Korea,2,"A popular Korean food made from small-sized garae-tteok (long, white, cylinder-shaped rice cakes) called tteokmyeon or commonly tteokbokki-tteok."
Vatapá,Brazil,3,"A Brazilian dish made from bread, shrimp, coconut milk, finely ground peanuts and palm oil mashed into a creamy paste."
Vegetarian Haggis,Scotland,3,"A vegetarian version of the traditional Scottish dish of haggis. It is made from a mixture of vegetables, oatmeal, and spices."
Zhajiangmian,China,2,"A Chinese dish consisting of thick wheat noodles topped with zhajiang sauce. The sauce is made by simmering stir-fried ground pork or beef with salty fermented soybean paste."
Chongos Zamoranos,Mexico,3,"A Mexican dessert made from curdled milk. It is a popular dish in the state of Michoacán."
Halloumi,Cyprus,2,"A semi-hard, unripened brined cheese made from a mixture of goat's and sheep's milk, and sometimes also cow's milk. It has a high melting point and so can easily be fried or grilled."
Kifli,Hungary,3,"A traditional Hungarian yeast roll, made in a crescent shape. It is a popular breakfast pastry in Hungary."
Kreplach,Jewish (Ashkenazi),3,"Small dumplings filled with ground meat, mashed potatoes or another filling, usually boiled and served in chicken soup, though they may also be served fried."
Kugelis,Lithuania,3,"A Lithuanian potato pudding. It is a popular dish in Lithuania, and is often served with bacon and sour cream."
LauLau,Hawaii,3,"A Native Hawaiian dish. In the Hawaiian language, lau lau means 'leaf leaf'. It is a dish of pork wrapped in taro leaves."
Lukuma,Greece,3,"A Greek dessert made from deep-fried dough soaked in syrup or honey. It is similar to a doughnut."
Mazamorra,Peru,3,"A traditional Peruvian dessert made from purple corn. It is a popular dish in Peru, and is often served with rice pudding."
Međimurska Gibanica,Croatia,4,"A traditional Croatian layer cake originating from the Međimurje County. It is made with four fillings: walnuts, cottage cheese, poppy seeds, and apples."
Minestra Maritata,Italy,3,"A traditional Italian wedding soup. It is a hearty soup made with green vegetables and meat."
Njahi,Kenya,3,"A Kenyan dish of black beans and maize. It is a popular dish in the Central Province of Kenya."
Panch phoron,India,2,"A whole spice blend, originating from the Indian subcontinent, used in the cuisine of the eastern Indian subcontinent and the Southern regions of Nepal. The name literally means 'five spices'."
Parmo,England,3,"A dish originating in Middlesbrough, Teesside, and a popular take-away food in the North East of England. It consists of a breaded cutlet of chicken or pork topped with a white béchamel sauce and cheese, usually cheddar cheese."
Pastel de Choclo,Chile,3,"A traditional Chilean dish made from corn. It is a popular comfort food in Chile."
Potica,Slovenia,4,"A traditional Slovenian nut roll. It is a popular dessert in Slovenia, and is often served at holidays and other special occasions."
Ras el hanout,Morocco,3,"A complex spice blend from North Africa. The name means 'head of the shop' in Arabic, and it is said to be a mixture of the best spices the seller has to offer."
Sate,Indonesia,2,"A Southeast Asian dish of seasoned, skewered and grilled meat, served with a sauce. It is a popular dish in Indonesia, Malaysia, and other parts of Southeast Asia."
Skordalia,Greece,3,"A thick purée in Greek cuisine made by combining crushed garlic with a bulky base — which may be a purée of potatoes, walnuts, almonds, or liquid-soaked stale bread — and then beating in olive oil to make a smooth emulsion."
Sohan Halwa,Pakistan,3,"A traditional Pakistani sweet. It is a dense, sweet confection or halva, and is a specialty of the city of Multan."
Tamal,Guatemala,2,"A traditional Mesoamerican dish, made of masa or dough, which is steamed in a corn husk or banana leaf. The wrapping can either be discarded prior to eating or used as a plate."
Tarator,Bulgaria,3,"A cold soup from Bulgaria. It is made of yogurt, cucumbers, garlic, walnuts, dill, vegetable oil, and water, and is a popular dish in the summer."
Tripas,Portugal,2,"The culinary term for the stomach of a farm animal. In Portugal, it is a popular dish in the city of Porto."
Varenyky,Ukraine,2,"A traditional Ukrainian dish of filled dumplings. They are made with a variety of fillings, such as potatoes, cheese, and sauerkraut."
Zakuski,Russia,3,"A Russian term for hot and cold hors d'oeuvres, entrées and snacks, served before the main course. It is a popular tradition in Russia and other post-Soviet countries."
Zalabya,Egypt,3,"A Middle Eastern fritter or doughnut. It is a popular street food in Egypt and other parts of the Middle East."
Arroz con Leche,Spain,2,"A dessert made from rice mixed with water or milk and other ingredients such as cinnamon and raisins."
Ciorbă,Romania,3,"A Romanian sour soup. It is a popular dish in Romania, and is often served as a first course."
Kokoretsi,Greece,3,"A dish of the Balkans and Asia Minor, consisting of lamb or goat intestines wrapped around seasoned offal, including sweetbreads, hearts, lungs, or kidneys, and typically grilled."
Lap cheong,China,2,"A dried, hard sausage usually made from pork and a high content of fat. It is normally smoked, sweetened, and seasoned with rose water, rice wine and soy sauce."
Manakish,Lebanon,2,"A popular Levantine food consisting of dough topped with thyme, cheese, or ground meat. Similar to a pizza, it can be sliced or folded, and it can be served either for breakfast or lunch."
Nkwobi,Nigeria,3,"An Igbo delicacy that is served in most restaurants in Nigeria. It is a spicy cow foot dish."
Pachamanca,Peru,4,"A traditional Peruvian dish baked with the aid of hot stones. The earthen oven is known as a huatia. It is a popular dish in the Andean regions of Peru."
Salpicon,Colombia,3,"A dish of one or more ingredients diced or minced and bound with a sauce or liquid. In Colombia, it is a fruit salad with a liquid base."
Sopa Azteca,Mexico,2,"A traditional Mexican soup. It is made from chicken broth, tomatoes, and chili peppers, and is often served with tortilla strips, avocado, and cheese."
Sfiha,Lebanon,2,"A pizza-like dish originating from the Levant, and is a popular dish in Lebanon, Syria, and Palestine."
Tumbet,Spain,3,"A traditional vegetable dish from Majorca, consisting of layers of sliced potatoes, aubergines and red bell peppers previously fried in olive oil. It is available at almost any local restaurant on the island."
Arroz Chaufa,Peru,2,"A Peruvian fried rice dish. It is a chifa style dish, a mix of Peruvian and Chinese food."
Caldo Verde,Portugal,2,"A traditional Portuguese soup. It is made with potatoes, collard greens, and chorizo."
Khichdi,India,2,"A South Asian dish of rice and lentils. It is a popular comfort food in India, and is often served with yogurt or a pickle."
Matzah Ball Soup,Jewish (Ashkenazi),2,"A traditional Jewish soup. It is made with matzah balls, which are dumplings made from matzah meal, eggs, water, and fat."
Tapado,Honduras,2,"A traditional Honduran seafood stew that is rich and savory. It's a coastal specialty made with a coconut milk base and a variety of fresh seafood."
Yassa,Senegal,2,"A spicy dish prepared with onions and either marinated poultry or marinated fish. Originally from Senegal, yassa has become popular throughout West Africa."
Atayef,Middle East,4,"A Middle Eastern dessert commonly served during the month of Ramadan, a sweet dumpling filled with cream or nuts."
Canard à l'orange,France,2,"A classic French dish, in which a roasted duck is served with a bigarade sauce, a sauce made with the juice of bitter oranges."
Chili Crab,Singapore,2,"A Singaporean seafood dish. Mud crabs are commonly used and are stir-fried in a semi-thick, sweet and savoury tomato-and-chilli-based sauce."
Gado-Gado,Indonesia,2,"An Indonesian salad of raw, slightly boiled, blanched or steamed vegetables and hard-boiled eggs, boiled potato, fried tofu and tempeh, and lontong, served with a peanut sauce dressing."
Khao Niao Ma Muang,Thailand,3,"A traditional Thai dessert made with glutinous rice, fresh mango and coconut milk."
Pastitsio,Greece,3,"A Greek baked pasta dish with ground meat and béchamel sauce."
Pirozhki,Russia,3,"A Russian and Ukrainian baked or fried yeast-leavened boat-shaped bun with a variety of fillings."
Rissóis,Portugal,3,"A small, typically half-moon-shaped, breaded and deep-fried croquette from Portugal."
Thousand-Year Egg,China,3,"A Chinese preserved food product and delicacy made by preserving duck, chicken or quail eggs in a mixture of clay, ash, salt, quicklime, and rice hulls for several weeks to several months, depending on the method of processing."
Tostones,Caribbean,2,"Fried plantain slices, a popular side dish in the Caribbean."
Tuna Melt,United States,1,"A type of sandwich served hot, which has a filling of tuna salad and cheese. It is a classic American comfort food."
Tarte Tatin,France,2,"An upside-down pastry in which the fruit (usually apples) are caramelized in butter and sugar before the tart is baked."
Shish Barak,Lebanon,2,"A traditional Lebanese dish of meat dumplings in a yogurt-based stew."
Quesillo,Venezuela,2,"A Venezuelan dessert made with eggs, condensed milk, and caramel. It is a type of flan."
Paila Marina,Chile,3,"A traditional Chilean seafood stew usually served in an earthenware bowl (paila)."
Khao Soi,Thailand,2,"A Northern Thai noodle soup dish. It is a coconut-based curry noodle soup."
Jerk Pork,Jamaica,2,"A Jamaican dish where pork is dry-rubbed or wet marinated with a hot spice mixture called Jamaican jerk spice."
Hot Pot,China,2,"A Chinese cooking method, prepared with a simmering pot of soup stock at the dining table, containing a variety of East Asian foodstuffs and ingredients."
Gyeran Jjim,South Korea,3,"A Korean steamed egg casserole, which is a popular side dish in Korea."
Fattoush,Lebanon,3,"A Levantine salad made from toasted or fried pieces of khubz (Arabic flatbread) combined with mixed greens and other vegetables, such as radishes and tomatoes."
Chapati,India,1,"An unleavened flatbread originating from the Indian subcontinent and staple in India, Nepal, Bangladesh, Pakistan, Sri Lanka, East Africa and the Caribbean."
Arepas,Colombia,1,"A type of food made of ground maize dough, originating from the northern region of South America in pre-Columbian times, and is notable in the cuisines of Colombia and Venezuela. This is a duplicate entry."
Abalone,South Africa,3,"A common name for any of a group of small to very large sea snails, marine gastropod molluscs in the family Haliotidae."
Zaru Soba,Japan,2,"A chilled Japanese noodle dish made from buckwheat noodles."
Yebeg Wot,Ethiopia,2,"An Ethiopian lamb stew. It is a spicy and flavorful dish."
Xôi,Vietnam,2,"A Vietnamese savory (mặn) or sweet (ngọt) dish made from glutinous rice and other ingredients."
Welsh Rarebit,Wales,2,"A dish consisting of a hot cheese-based sauce served over slices of toasted bread. The original 18th-century name of the dish was the jocular 'Welsh rabbit', which was later reinterpreted as 'rarebit', as the dish contains no rabbit."
Upma,India,2,"A dish originating from the Indian subcontinent, most common in South Indian, Maharashtrian, and Sri Lankan Tamil breakfast, cooked as a thick porridge from dry-roasted semolina or coarse rice flour."
Torta Caprese,Italy,2,"A traditional Italian cake made with chocolate and either almonds or walnuts. Named for the island of Capri from which it originates."
Tong Sui,China,2,"A collective term for any sweet, warm soup or custard served as a dessert at the end of a meal in Cantonese cuisine. 'Tong sui' are a Cantonese specialty and are rarely found in other regional cuisines of China."
Tikka,India,2,"An Indian dish of small pieces of meat or vegetables marinated in a spice mixture."
Sukiyaki,Japan,2,"A Japanese dish that is prepared and served in the nabemono (Japanese hot pot) style. It consists of meat (usually thinly sliced beef) which is slowly cooked or simmered at the table, alongside vegetables and other ingredients, in a shallow iron pot in a mixture of soy sauce, sugar, and mirin."
Sopa de Plátano,Costa Rica,2,"A Costa Rican plantain soup. It is a simple, yet flavorful soup."
Solyanka,Russia,2,"A thick, spicy and sour soup of Russian origin that is common in Russia, Ukraine, and other states of the former Soviet Union and certain parts of the former Eastern Bloc."
Soupe à l'oignon,France,2,"A type of soup usually based on meat stock and onions, and often served gratinéed with croutons and cheese on top of a large piece of bread."
Shuizhu Yu,China,3,"A Chinese dish which originated from the cuisine of Sichuan province and the name literally means 'water boiled fish'. The fish is poached in a spicy broth."
Seitan,China,2,"A food made from gluten, the main protein of wheat."
Salmorejo,Spain,2,"A traditional soup originating from Andalusia, southern Spain, made of tomato, bread, extra virgin olive oil and garlic."
Saganaki,Greece,2,"Any of a variety of Greek dishes prepared in a small, two-handled frying pan, the best-known being an appetizer of fried cheese."
Roti Canai,Malaysia,2,"An Indian-influenced flatbread dish found in several countries in Southeast Asia, including Malaysia, Brunei, Indonesia and Singapore."
Rødgrød,Denmark,2,"A sweet fruit dish from Denmark and Northern Germany. The name of the dish in Danish literally means 'red porridge'."
Risotto,Italy,1,"A northern Italian rice dish cooked with broth until it reaches a creamy consistency."
Quiche,France,1,"A French tart consisting of pastry crust filled with savoury custard and pieces of cheese, meat, seafood or vegetables."
Pound Cake,United States,1,"A type of cake traditionally made with a pound of each of four ingredients: flour, butter, eggs, and sugar."
Potjevleesch,Belgium,3,"A traditional French Flemish dish, which can be translated into English as 'potted meat'. It is a cold dish of white meats in a savory jelly."
Pastilla,Morocco,3,"A North African meat or seafood pie made with warqa dough, which is similar to filo. It is a specialty of Morocco and Algeria."
Papas a la Huancaína,Peru,3,"A Peruvian appetizer of boiled yellow potatoes in a spicy, creamy sauce called Huancaína sauce."
Naan,India,1,"A leavened, oven-baked flatbread found in the cuisines mainly of West Asia, Central Asia, Southeast Asia, the Indian subcontinent and the Caribbean."
Miso Soup,Japan,1,"A traditional Japanese soup consisting of a dashi stock into which softened miso paste is mixed."
Milanesa,Argentina,2,"A South American variation of an Italian dish where generic types of breaded meat fillet preparations are known as a milanesa."
Mee Goreng,Indonesia,2,"A flavorful and spicy fried noodle dish common in Indonesia, Malaysia, and Singapore."
Marmita de Peixe,Portugal,3,"A Portuguese fish stew. It is a popular dish in the Algarve region."
Machaca,Mexico,3,"A dish of dried, shredded beef from Northern Mexico. It is a popular breakfast dish."
Khao Suey,Myanmar,3,"A Burmese noodle soup. It is a popular dish in Myanmar, and is often served for breakfast."
Khao tom,Thailand,2,"A Thai rice soup. It is a popular breakfast dish in Thailand."
Kartoflarka,Poland,3,"A Polish potato soup. It is a popular comfort food in Poland."
Karniyarik,Turkey,3,"A Turkish dish of stuffed eggplant. It is a popular dish in Turkey, and is often served as a main course."
Jambalaya,United States,2,"A popular dish of West African, French (especially Provençal), and Spanish influence, consisting mainly of meat and vegetables mixed with rice."
Hainanese Chicken Rice,Singapore,2,"A dish of poached chicken and seasoned rice, served with chili sauce and usually with cucumber garnishes. It was created by immigrants from Hainan in southern China and adapted from the Hainanese dish Wenchang chicken."
Gyros,Greece,2,"A Greek dish made from meat cooked on a vertical rotisserie. It is usually served in a pita bread with tomato, onion, and tzatziki sauce."
Frikadellen,Germany,2,"A German meatball. It is a popular dish in Germany, and is often served with potatoes and a sauce."
Enchilada,Mexico,2,"A corn tortilla rolled around a filling and covered with a savory sauce. Enchiladas can be filled with various ingredients, including meats, cheese, beans, potatoes, vegetables or combinations."
Ema Datshi,Bhutan,4,"A Bhutanese stew made from chili peppers and cheese. It is the national dish of Bhutan."
Cuy,Ecuador,4,"A guinea pig. It is a popular dish in the Andean regions of South America."
Cullen Skink,Scotland,3,"A thick Scottish soup made of smoked haddock, potatoes and onions. An authentic Cullen skink will use finnan haddie, but it may be prepared with any other undyed smoked haddock."
Changua,Colombia,3,"A Colombian milk soup. It is a popular breakfast dish in the Andean regions of Colombia."
Carbonara,Italy,2,"An Italian pasta dish from Rome made with eggs, hard cheese, cured pork, and black pepper."
Bacalhau à Gomes de Sá,Portugal,3,"A Portuguese dish of codfish, potatoes, eggs, and olives."
Bánh tét,Vietnam,3,"A Vietnamese savory but sometimes sweetened cake made from glutinous rice, which is rolled in a banana leaf into a thick, log-like cylindrical shape, with a mung bean or mung bean and pork filling, then boiled. After cooking, the banana leaf is removed and the cake is sliced into wheel-shaped servings."
Avgolemono,Greece,2,"A family of sauces and soups made with egg yolk and lemon juice mixed with broth, heated until they thicken. They are found in Greek, Arab, Sephardic Jewish, Turkish, Balkan and Italian cuisine."
Aloo Gobi,India,2,"A vegetarian dish from the Indian subcontinent made with potatoes (aloo), cauliflower (gobi), and Indian spices."
Adana Kebap,Turkey,2,"A long, hand-minced meat kebab mounted on a wide iron skewer and grilled on an open mangal filled with burning charcoal."